87,"{'Volume': 896027.0, 'High': 1.14, 'Turnover_ratio': 0.59, 'Low': 1.08, 'Time': '2005-05-25', 'Close': 1.13, 'Open': 1.12}"
88,"{'Volume': 293277.0, 'High': 1.13, 'Turnover_ratio': 0.19, 'Low': 1.1, 'Time': '2005-05-26', 'Close': 1.11, 'Open': 1.1}"
89,"{'Volume': 551676.0, 'High': 1.13, 'Turnover_ratio': 0.36, 'Low': 1.1, 'Time': '2005-05-27', 'Close': 1.13, 'Open': 1.1}"
90,"{'Volume': 369628.0, 'High': 1.13, 'Turnover_ratio': 0.24, 'Low': 1.1, 'Time': '2005-05-30', 'Close': 1.1, 'Open': 1.1}"
91,"{'Volume': 467177.0, 'High': 1.13, 'Turnover_ratio': 0.31, 'Low': 1.09, 'Time': '2005-05-31', 'Close': 1.13, 'Open': 1.1}"
92,"{'Volume': 317675.0, 'High': 1.13, 'Turnover_ratio': 0.21, 'Low': 1.09, 'Time': '2005-06-01', 'Close': 1.1, 'Open': 1.13}"
93,"{'Volume': 2225721.0, 'High': 1.16, 'Turnover_ratio': 1.47, 'Low': 1.1, 'Time': '2005-06-02', 'Close': 1.16, 'Open': 1.12}"
94,"{'Volume': 908017.0, 'High': 1.16, 'Turnover_ratio': 0.6, 'Low': 1.1, 'Time': '2005-06-03', 'Close': 1.12, 'Open': 1.16}"
95,"{'Volume': 879185.0, 'High': 1.11, 'Turnover_ratio': 0.58, 'Low': 1.07, 'Time': '2005-06-06', 'Close': 1.09, 'Open': 1.1}"
96,"{'Volume': 696921.0, 'High': 1.11, 'Turnover_ratio': 0.46, 'Low': 1.05, 'Time': '2005-06-07', 'Close': 1.1, 'Open': 1.09}"
97,"{'Volume': 1404666.0, 'High': 1.15, 'Turnover_ratio': 0.92, 'Low': 1.08, 'Time': '2005-06-08', 'Close': 1.15, 'Open': 1.1}"
98,"{'Volume': 1562529.0, 'High': 1.21, 'Turnover_ratio': 1.03, 'Low': 1.12, 'Time': '2005-06-09', 'Close': 1.19, 'Open': 1.15}"
99,"{'Volume': 975123.0, 'High': 1.2, 'Turnover_ratio': 0.64, 'Low': 1.16, 'Time': '2005-06-10', 'Close': 1.17, 'Open': 1.19}"
100,"{'Volume': 413469.0, 'High': 1.17, 'Turnover_ratio': 0.27, 'Low': 1.14, 'Time': '2005-06-13', 'Close': 1.16, 'Open': 1.16}"
101,"{'Volume': 365139.0, 'High': 1.18, 'Turnover_ratio': 0.24, 'Low': 1.15, 'Time': '2005-06-14', 'Close': 1.16, 'Open': 1.18}"
102,"{'Volume': 598021.0, 'High': 1.17, 'Turnover_ratio': 0.39, 'Low': 1.1, 'Time': '2005-06-15', 'Close': 1.12, 'Open': 1.16}"
103,"{'Volume': 285638.0, 'High': 1.11, 'Turnover_ratio': 0.19, 'Low': 1.09, 'Time': '2005-06-16', 'Close': 1.1, 'Open': 1.11}"
104,"{'Volume': 445300.0, 'High': 1.1, 'Turnover_ratio': 0.29, 'Low': 1.05, 'Time': '2005-06-17', 'Close': 1.1, 'Open': 1.1}"
105,"{'Volume': 442133.0, 'High': 1.1, 'Turnover_ratio': 0.29, 'Low': 1.05, 'Time': '2005-06-20', 'Close': 1.1, 'Open': 1.1}"
106,"{'Volume': 325916.0, 'High': 1.11, 'Turnover_ratio': 0.22, 'Low': 1.08, 'Time': '2005-06-21', 'Close': 1.11, 'Open': 1.09}"
107,"{'Volume': 622930.0, 'High': 1.15, 'Turnover_ratio': 0.41, 'Low': 1.1, 'Time': '2005-06-22', 'Close': 1.15, 'Open': 1.1}"
108,"{'Volume': 304756.0, 'High': 1.16, 'Turnover_ratio': 0.2, 'Low': 1.1, 'Time': '2005-06-23', 'Close': 1.1, 'Open': 1.15}"
109,"{'Volume': 202355.0, 'High': 1.12, 'Turnover_ratio': 0.13, 'Low': 1.07, 'Time': '2005-06-24', 'Close': 1.12, 'Open': 1.1}"
110,"{'Volume': 1010611.0, 'High': 1.14, 'Turnover_ratio': 0.66, 'Low': 1.09, 'Time': '2005-06-27', 'Close': 1.13, 'Open': 1.11}"
